flowID,dstPort,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,bwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN-Flag count,ACK-Flag count,RST-Flag count,PSH-Flag count,FIN-Flag count,URG-Flag count,CWR-Flag count,ECE-Flag count,Label
139.162.192.40 57615 149.102.157.168 5900 TCP,5900,0x0002,0x0014,0,0.000018405,1024,0,0,53773.1282051282,0,60,0,54,0,0,0,0,0,0,0,0,0,2903748.92307692,TCP,0,0,1,1,2,60,54,0,1.85966491699219E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 554 TCP,554,0x0002,0x0014,0,0.000011321,1024,0,0,89240.5106382979,0,60,0,54,0,0,0,0,0,0,0,0,0,4818987.57446809,TCP,0,0,1,1,2,60,54,0,1.12056732177734E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 1025 TCP,1025,0x0002,0x0014,0,0.000028121,1024,0,0,35544.9491525424,0,60,0,54,0,0,0,0,0,0,0,0,0,1919427.25423729,TCP,0,0,1,1,2,60,54,0,2.81333923339844E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 143 TCP,143,0x0002,0x0014,0,0.000038771,1024,0,0,25731.9263803681,0,60,0,54,0,0,0,0,0,0,0,0,0,1389524.02453988,TCP,0,0,1,1,2,60,54,0,3.88622283935547E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 1720 TCP,1720,0x0002,0x0014,0,0.000006984,1024,0,0,139810.133333333,0,60,0,54,0,0,0,0,0,0,0,0,0,7549747.2,TCP,0,0,1,1,2,60,54,0,7.15255737304688E-06,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 993 TCP,993,0x0002,0x0014,0,0.000012133,1024,0,0,82241.2549019608,0,60,0,54,0,0,0,0,0,0,0,0,0,4441027.76470588,TCP,0,0,1,1,2,60,54,0,1.21593475341797E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 80 TCP,80,0x0004,0x0012,0.004132853,0.000016641,0,64240,481.993105033326,60787.0144927536,0,60,0,58,0,0,0,0,0,0,0,0,28919.5863019995,3525646.84057971,TCP,0,0,2,1,3,120,58,0.00414943695068359,1.64508819580078E-05,60,0,0,58,0,0,1.64508819580078E-05,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 8080 TCP,8080,0x0002,0x0014,0,0.000008346,1024,0,0,119837.257142857,0,60,0,54,0,0,0,0,0,0,0,0,0,6471211.88571429,TCP,0,0,1,1,2,60,54,0,8.34465026855469E-06,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 53 TCP,53,0x0002,0x0014,0,0.000004598,1024,0,0,220752.842105263,0,60,0,54,0,0,0,0,0,0,0,0,0,11920653.4736842,TCP,0,0,1,1,2,60,54,0,4.52995300292969E-06,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 3306 TCP,3306,0x0004,0x0012,0.004497413,0.000030286,0,64240,441.738177988415,33026.0157480315,0,60,0,58,0,0,0,0,0,0,0,0,26504.2906793049,1915508.91338583,TCP,0,0,2,1,3,120,58,0.00452756881713867,3.02791595458984E-05,60,0,0,58,0,0,3.02791595458984E-05,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 23 TCP,23,0x0002,0x0014,0,0.000010079,1024,0,0,97541.9534883721,0,60,0,54,0,0,0,0,0,0,0,0,0,5267265.48837209,TCP,0,0,1,1,2,60,54,0,1.02519989013672E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 1110 TCP,1110,0x0002,0x0014,0,0.000020919,1024,0,0,47662.5454545455,0,60,0,54,0,0,0,0,0,0,0,0,0,2573777.45454545,TCP,0,0,1,1,2,60,54,0,2.09808349609375E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
