dstPort,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,bwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN-Flag count,ACK-Flag count,RST-Flag count,PSH-Flag count,FIN-Flag count,URG-Flag count,CWR-Flag count,ECE-Flag count,Label
80,0x0010,0x0010,0,0.003663908,501,135,0,0,0,66,0,66,0,0,0,0,0,0,0,0,0,18014.1904080172,TCP,0,0,1,1,2,66,66,0,0.00366377830505371,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
80,0x0010,0x0010,0,0.003706347,501,135,0,0,0,66,0,66,0,0,0,0,0,0,0,0,0,17807.9166291412,TCP,0,0,1,1,2,66,66,0,0.00370621681213379,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
443,0x0010,0x0018,0.040164626,0.003345775,752,422,45.9659828160617,0,0,105,0,105,0,0,0,0,0,0,0,0,3930.09153077328,31383.3050666287,TCP,39,39,2,1,3,171,105,0.0435104370117188,0.00334572792053223,85.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
25,0x0002,0x0014,0,0.000046246,29200,0,0,0,0,74,0,54,0,0,0,0,0,0,0,0,0,1167486.68041237,TCP,0,0,1,1,2,74,54,0,4.62532043457031E-05,74,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
80,0x0010,0x0010,0,0.003369809,501,141,0,0,0,66,0,66,0,0,0,0,0,0,0,0,0,19585.6844488468,TCP,0,0,1,1,2,66,66,0,0.00336980819702148,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
25,0x0002,0x0014,0,0.000068739,29200,0,0,0,0,74,0,54,0,0,0,0,0,0,0,0,0,786432,TCP,0,0,1,1,2,74,54,0,6.866455078125E-05,74,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
443,0x0010,0x0010,0,0.003888437,501,8,0,0,0,66,0,66,0,0,0,0,0,0,0,0,0,16973.6994297627,TCP,0,0,1,1,2,66,66,0,0.00388836860656738,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
443,0x0010,0x0010,0,0.004197311,501,8,0,0,0,66,0,66,0,0,0,0,0,0,0,0,0,15724.1729054246,TCP,0,0,1,1,2,66,66,0,0.00419735908508301,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
443,0x0010,0x0010,0,0.003388675,501,401,0,0,0,66,0,66,0,0,0,0,0,0,0,0,0,19476.8215014423,TCP,0,0,1,1,2,66,66,0,0.00338864326477051,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
80,0x0011,0x0010,0.000947826,0.004031804,501,85,0.541612526018986,0.405823817306212,0,66,0,66,0,1.231920266,0,4.52349324185476,0,2.12685054525577,0,0,35.7464267172531,26.78437194221,TCP,0,0,2,3,5,132,198,3.69267678260803,7.3923704624176,66,0,0,66,0,0,0,0,1,0,0,0,0,0,0,
