dstPort,Unique Ports,Auth Failures,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,bwd meanDelta,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN,Forward FIN flag count,Forward SYN flag count,Forward RST flag count,Forward ACK flag count,Forward 0x0014 flag count,Forward ACK-PSH flag count,Forward 0x003F flag count,Forward ACK-FIN-PSH flag count,Forward URG flag count,Forward FIN-ACK flag count,Backward FIN flag count,Backward RST flag count,Backward ACK flag count,Backward 0x0014 flag count,Backward ACK-PSH flag count,Backward 0x003F flag count,Backward SYN-ACK flag count,Backward ACK-FIN-PSH flag count,Backward URG flag count,Backward FIN-ACK flag count,Label
22,1,0,0x0002,0x0014,0.0,5.1756e-05,65535,0,0.0,19328.5898617512,0,60,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043743.85253456,0.0,TCP,0,0,1,1,2,60,54,0.0,5.17368316650391e-05,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AbuseIPDB - Brute-Force
22,1,0,0x0002,0x0014,0.0,0.000294419,65535.0,0.0,0.0,3396.1975708502023,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183394.6688259109,0.0,TCP,0.0,0.0,1.0,1.0,2.0,60.0,54.0,0.0,0.0002944469451904,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Brute-Force
53579,1,0,0x0014,0x0018,0.015304243,0.028096119,0.0,64256.0,43.867507556503824,49.54468029814428,0.0,98,0.0,73.0,0.00772254525,6.81633608613225e-05,0.0002583426723008,0.0077228842250584,0.0160730417874424,484.0,120.33333333333331,3114.5930365117715,3187.374432513948,0.009536569,TCP,44.0,19.0,4.0,3.0,7.0,284.0,193.0,0.0911836624145507,0.0605514049530029,71.0,21.93931022920578,481.3333333333333,64.33333333333333,9.60902353693305,92.33333333333331,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Brute-Force
22,1,0,0x0002,0x0014,0.0,0.000294419,65535.0,0.0,0.0,3396.1975708502023,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183394.6688259109,0.0,TCP,0.0,0.0,1.0,1.0,2.0,60.0,54.0,0.0,0.0002944469451904,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Brute-Force
53579,1,0,0x0014,0x0018,0.015304243,0.028096119,0.0,64256.0,43.867507556503824,49.54468029814428,0.0,98,0.0,73.0,0.00772254525,6.81633608613225e-05,0.0002583426723008,0.0077228842250584,0.0160730417874424,484.0,120.33333333333331,3114.5930365117715,3187.374432513948,0.009536569,TCP,44.0,19.0,4.0,3.0,7.0,284.0,193.0,0.0911836624145507,0.0605514049530029,71.0,21.93931022920578,481.3333333333333,64.33333333333333,9.60902353693305,92.33333333333331,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Brute-Force
8080,1,0,0x0002,0x0014,0.0,6.6363e-05,65535.0,0.0,0.0,15087.424460431655,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814720.9208633094,0.0,TCP,0.0,0.0,1.0,1.0,2.0,60.0,54.0,0.0,6.628036499023438e-05,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Brute-Force
22,1,0,0x0002,0x0014,0.0,8.6612e-05,65535.0,0.0,0.0,11522.813186813188,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622231.9120879121,0.0,TCP,0.0,0.0,1.0,1.0,2.0,60.0,54.0,0.0,8.678436279296875e-05,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Brute-Force
8969,1,0,0x0002,0x0014,0.0,9.5688e-05,1024.0,0.0,0.0,10459.610972568578,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564818.9925187032,0.0,TCP,0.0,0.0,1.0,1.0,2.0,60.0,54.0,0.0,9.560585021972656e-05,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Brute-Force
22,1,0,0x0002,0x0014,0.0,9.625e-05,65535.0,0.0,0.0,10381.940594059406,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560624.792079208,0.0,TCP,0.0,0.0,1.0,1.0,2.0,60.0,54.0,0.0,9.632110595703124e-05,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Brute-Force
8969,1,0,0x0002,0x0014,0.0,9.5688e-05,1024.0,0.0,0.0,10459.610972568578,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564818.9925187032,0.0,TCP,0.0,0.0,1.0,1.0,2.0,60.0,54.0,0.0,9.560585021972656e-05,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Brute-Force
22,1,0,0x0002,0x0014,0.0,9.625e-05,65535.0,0.0,0.0,10381.940594059406,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560624.792079208,0.0,TCP,0.0,0.0,1.0,1.0,2.0,60.0,54.0,0.0,9.632110595703124e-05,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Brute-Force
22,1,0,0x0002,0x0014,0.0,5.9982e-05,65535.0,0.0,0.0,16710.37450199203,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,902360.2231075696,0.0,TCP,0.0,0.0,1.0,1.0,2.0,60.0,54.0,0.0,5.984306335449219e-05,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Brute-Force
